Date,Value
5/1/1941,2.12
6/1/1941,2.16
7/1/1941,2.21
8/1/1941,2.25
9/1/1941,2.29
10/1/1941,2.33
11/1/1941,2.38
12/1/1941,2.42
1/1/1942,2.46
2/1/1942,2.46
3/1/1942,2.46
4/1/1942,2.46
5/1/1942,2.46
6/1/1942,2.46
7/1/1942,2.47
8/1/1942,2.47
9/1/1942,2.47
10/1/1942,2.47
11/1/1942,2.47
12/1/1942,2.47
1/1/1943,2.47
2/1/1943,2.47
3/1/1943,2.47
4/1/1943,2.47
5/1/1943,2.47
6/1/1943,2.47
7/1/1943,2.48
8/1/1943,2.48
9/1/1943,2.48
10/1/1943,2.48
11/1/1943,2.48
12/1/1943,2.48
1/1/1944,2.48
2/1/1944,2.47
3/1/1944,2.46
4/1/1944,2.45
5/1/1944,2.44
6/1/1944,2.43
7/1/1944,2.43
8/1/1944,2.42
9/1/1944,2.41
10/1/1944,2.4
11/1/1944,2.39
12/1/1944,2.38
1/1/1945,2.37
2/1/1945,2.36
3/1/1945,2.34
4/1/1945,2.33
5/1/1945,2.31
6/1/1945,2.3
7/1/1945,2.28
8/1/1945,2.27
9/1/1945,2.25
10/1/1945,2.24
11/1/1945,2.22
12/1/1945,2.21
1/1/1946,2.19
2/1/1946,2.2
3/1/1946,2.2
4/1/1946,2.21
5/1/1946,2.21
6/1/1946,2.22
7/1/1946,2.22
8/1/1946,2.23
9/1/1946,2.23
10/1/1946,2.24
11/1/1946,2.24
12/1/1946,2.25
1/1/1947,2.25
2/1/1947,2.27
3/1/1947,2.28
4/1/1947,2.3
5/1/1947,2.31
6/1/1947,2.33
7/1/1947,2.35
8/1/1947,2.36
9/1/1947,2.38
10/1/1947,2.39
11/1/1947,2.41
12/1/1947,2.42
1/1/1948,2.44
2/1/1948,2.43
3/1/1948,2.42
4/1/1948,2.41
5/1/1948,2.4
6/1/1948,2.39
7/1/1948,2.38
8/1/1948,2.36
9/1/1948,2.35
10/1/1948,2.34
11/1/1948,2.33
12/1/1948,2.32
1/1/1949,2.31
2/1/1949,2.31
3/1/1949,2.31
4/1/1949,2.31
5/1/1949,2.31
6/1/1949,2.31
7/1/1949,2.32
8/1/1949,2.32
9/1/1949,2.32
10/1/1949,2.32
11/1/1949,2.32
12/1/1949,2.32
1/1/1950,2.32
2/1/1950,2.34
3/1/1950,2.36
4/1/1950,2.38
5/1/1950,2.4
6/1/1950,2.42
7/1/1950,2.45
8/1/1950,2.47
